id,eevp,eevp_source,trump2016,votes2012,votes2016,expected_votes,state,timestamp,weird_timestamps,hour_seconds,mail_in,time_cat,votes,vote_share_rep,vote_share_dem,absolute_diff_in_percent_vote_share,cum_num_Trump,cum_num_Biden,new_Trump_votes_added,new_Biden_votes_added,d1_NEW_votes,r_NEW_votes_added,rabs_NEW,diff_cat,outlier_new,d1_num,r_num,rabs_num,outlier_num
2608,15,edison,1202971,1797212,1924149,2200000,kentucky,2020-11-04T00:12:32Z,normal,00:12:32Z,overnight,4-Nov,346218,0.535,0.449,0.086,185226.63,155451.882,8061.878,1483.274,1.54E-06,-0.253612267,0.253612267,low,normal,2.00E-07,-0.074140388,0.074140388,normal
875,22,edison,4617886,8474179,9501617,11500000,florida,2020-11-04T00:12:48Z,normal,00:12:48Z,overnight,4-Nov,2564464,0.493,0.498,0.005,1264280.752,1277103.072,45676.726,123140.124,0.000312188,2.441995468,2.441995468,low,normal,5.73E-08,-0.048925043,0.048925043,normal
6436,86,edison,2970733,5742040,6166708,7000000,pennsylvania,2020-11-05T00:12:49Z,normal,00:12:49Z,overnight,5-Nov,6158220,0.514,0.474,0.04,3165325.08,2918996.28,1033.14,952.74,1.80E-08,-0.007567784,0.007567784,low,normal,0.000259712,-0.866605238,0.866605238,normal
876,22,edison,4617886,8474179,9501617,11500000,florida,2020-11-04T00:12:52Z,normal,00:12:52Z,overnight,4-Nov,2574380,0.493,0.498,0.005,1269169.34,1282041.24,4888.588,4938.168,1.12E-07,0.06766667,0.06766667,low,normal,5.76E-08,-0.049044803,0.049044803,normal
1953,9,edison,1557286,2624534,2757828,3070000,indiana,2020-11-04T00:13:09Z,normal,00:13:09Z,overnight,4-Nov,261642,0.649,0.329,0.32,169805.658,86080.218,3312.496,1935.754,3.67E-08,0.03852266,0.03852266,high,normal,9.61E-07,-0.161539049,0.161539049,normal
877,22,edison,4617886,8474179,9501617,11500000,florida,2020-11-04T00:13:10Z,normal,00:13:10Z,overnight,4-Nov,2575945,0.493,0.498,0.005,1269940.885,1282820.61,771.545,779.37,4.94E-07,0.138884675,0.138884675,low,normal,5.76E-08,-0.049063705,0.049063705,normal
6610,0,edison,1155389,1964118,2103027,2525000,south-carolina,2020-11-04T00:13:12Z,normal,00:13:12Z,overnight,4-Nov,437,0.705,0.295,0.41,308.085,128.915,308.085,128.915,5.03E-07,0.139610759,0.139610759,high,normal,1.38E-08,-0.018259091,0.018259091,normal
1954,9,edison,1557286,2624534,2757828,3070000,indiana,2020-11-04T00:13:37Z,normal,00:13:37Z,overnight,4-Nov,290254,0.658,0.32,0.338,190987.132,92881.28,21181.474,6801.062,1.71E-05,-0.797925682,0.797925682,high,normal,1.25E-06,-0.185872775,0.185872775,normal
4831,99,edison,279240,484048,501822,605000,montana,2020-11-05T00:13:44Z,normal,00:13:44Z,overnight,5-Nov,587203,0.565,0.406,0.159,331769.695,238404.418,3204.584,296.842,7.96E-06,-0.159224159,0.159224159,high,normal,8.32E-05,-0.500344836,0.500344836,normal
1955,10,edison,1557286,2624534,2757828,3070000,indiana,2020-11-04T00:13:44Z,normal,00:13:44Z,overnight,4-Nov,298265,0.658,0.32,0.338,196258.37,95444.8,5271.238,2563.52,5.93E-08,-0.04938816,0.04938816,high,normal,1.31E-06,-0.190507258,0.190507258,normal
878,22,edison,4617886,8474179,9501617,11500000,florida,2020-11-04T00:13:49Z,normal,00:13:49Z,overnight,4-Nov,2578773,0.493,0.497,0.004,1271335.089,1281650.181,1394.204,-1170.429,1.58E-08,0.024973144,0.024973144,low,normal,6.80E-08,-0.053305491,0.053305491,normal
7503,0,edison,1769443,3854489,3982752,4430000,virginia,2020-11-04T00:14:02Z,normal,00:14:02Z,overnight,4-Nov,3664,0.558,0.436,0.122,2044.512,1597.504,366.127,39.702,4.54E-07,0.132693566,0.132693566,low,normal,1.46E-08,-0.018767404,0.018767404,normal
1882,77,edison,2146015,5242014,5594420,6100000,illinois,2020-11-05T00:14:06Z,normal,00:14:06Z,overnight,5-Nov,4726156,0.424,0.557,0.133,2003890.144,2632468.892,30667.477,29494.31,0.000109927,-0.576438407,0.576438407,low,normal,0.000117711,0.609971572,0.609971572,normal
1130,0,edison,2089104,3900050,4141445,5025000,georgia,2020-11-04T00:14:11Z,normal,00:14:11Z,overnight,4-Nov,408,0.674,0.326,0.348,274.992,133.008,274.992,133.008,5.18E-07,0.141683933,0.141683933,high,normal,1.37E-08,-0.018197056,0.018197056,normal
2609,15,edison,1202971,1797212,1924149,2200000,kentucky,2020-11-04T00:14:12Z,normal,00:14:12Z,overnight,4-Nov,347470,0.537,0.448,0.089,186591.39,155666.56,1364.76,214.678,1.71E-07,0.082070752,0.082070752,low,normal,2.11E-07,-0.076072991,0.076072991,normal
879,22,edison,4617886,8474179,9501617,11500000,florida,2020-11-04T00:14:23Z,normal,00:14:23Z,overnight,4-Nov,2579357,0.493,0.497,0.004,1271623.001,1281940.429,287.912,290.248,5.59E-07,0.147227421,0.147227421,low,normal,6.81E-08,-0.053313498,0.053313498,normal
1956,10,edison,1557286,2624534,2757828,3070000,indiana,2020-11-04T00:14:25Z,normal,00:14:25Z,overnight,4-Nov,300590,0.659,0.319,0.34,198088.81,95888.21,1830.44,443.41,1.04E-07,0.064349401,0.064349401,high,normal,1.34E-06,-0.192845584,0.192845584,normal
228,86,edison,1252401,2306559,2604657,3400000,arizona,2020-11-06T00:14:38Z,normal,00:14:38Z,overnight,6-Nov,2932674,0.483,0.504,0.021,1416481.542,1478067.696,5744.18,2939.832,1.22E-05,-0.204169001,0.204169001,low,normal,2.12E-07,0.02679608,0.02679608,normal
1587,99,edison,2089104,3900050,4141445,5025000,georgia,2020-11-07T00:14:40Z,normal,00:14:40Z,overnight,7-Nov,4971278,0.493,0.494,0.001,2450840.054,2455811.332,552.16,553.28,8.20E-08,0.006233843,0.006233843,low,normal,0.000411553,-0.441350329,0.441350329,normal
6611,0,edison,1155389,1964118,2103027,2525000,south-carolina,2020-11-04T00:14:44Z,normal,00:14:44Z,overnight,4-Nov,694,0.604,0.396,0.208,419.176,274.824,111.091,145.909,5.95E-07,0.151657031,0.151657031,high,normal,1.37E-08,-0.018206838,0.018206838,normal
880,22,edison,4617886,8474179,9501617,11500000,florida,2020-11-04T00:14:47Z,normal,00:14:47Z,overnight,4-Nov,2586442,0.494,0.497,0.003,1277702.348,1285461.674,6079.347,3521.245,8.05E-08,-0.057710757,0.057710757,low,normal,7.99E-08,-0.057736935,0.057736935,normal
1957,10,edison,1557286,2624534,2757828,3070000,indiana,2020-11-04T00:14:48Z,normal,00:14:48Z,overnight,4-Nov,307713,0.662,0.317,0.345,203706.006,97545.021,5617.196,1656.811,2.70E-07,-0.105614391,0.105614391,high,normal,1.43E-06,-0.199538235,0.199538235,normal
7504,0,edison,1769443,3854489,3982752,4430000,virginia,2020-11-04T00:15:04Z,normal,00:15:04Z,overnight,4-Nov,7386,0.689,0.302,0.387,5088.954,2230.572,3044.442,633.068,8.84E-11,0.001887226,0.001887226,high,normal,2.15E-08,-0.022827068,0.022827068,normal
881,31,edison,4617886,8474179,9501617,11500000,florida,2020-11-04T00:15:17Z,normal,00:15:17Z,overnight,4-Nov,3597254,0.482,0.51,0.028,1733876.428,1834599.54,456174.08,549137.866,0.081993081,-4.261904359,4.261904359,low,outlier,1.55E-07,0.075223374,0.075223374,normal
1883,78,edison,2146015,5242014,5594420,6100000,illinois,2020-11-05T00:15:18Z,normal,00:15:18Z,overnight,5-Nov,4766506,0.424,0.557,0.133,2020998.544,2654943.842,17108.4,22474.95,1.76E-06,-0.074365351,0.074365351,low,normal,0.000120917,0.618033048,0.618033048,normal
2610,15,edison,1202971,1797212,1924149,2200000,kentucky,2020-11-04T00:15:30Z,normal,00:15:30Z,overnight,4-Nov,347841,0.537,0.448,0.089,186790.617,155832.768,199.227,166.208,5.61E-07,0.147383451,0.147383451,low,normal,2.11E-07,-0.076135045,0.076135045,normal
1958,10,edison,1557286,2624534,2757828,3070000,indiana,2020-11-04T00:15:46Z,normal,00:15:46Z,overnight,4-Nov,311567,0.663,0.315,0.348,206568.921,98143.605,2862.915,598.584,3.00E-09,0.010982077,0.010982077,high,normal,1.49E-06,-0.203350417,0.203350417,normal
