,eevp,eevp_source,vote_share_trd,trump2016,votes2012,votes2016,expected_votes,state,timestamp,hour_seconds,time_cat,vote_share_rep,vote_share_dem,votes,num_Trump,num_Biden,new_Trump,new_Biden,id,diff,d1_NEW,r_NEW,rabs_NEW,diff_cat,outlier,weird,
2623,18,edison,0,1202971,1797212,1924149,2200000,kentucky,2020-11-04T00:28:30Z,00:28:30Z,4-Nov,0.576,0.409,420361,242127.936,171927.649,12306.216,4601.309,2623,0.167,3.36E-06,-0.373800791,0.373800791,high,normal,normal,
4363,96,edison,0,1323232,2936561,2945233,3415000,minnesota,2020-11-06T00:28:38Z,00:28:38Z,6-Nov,0.454,0.525,3262545,1481195.43,1712836.125,161.17,186.375,4363,0.071,1.88E-08,0.008013422,0.008013422,low,normal,normal,
4400,96,edison,0,1323232,2936561,2945233,3415000,minnesota,2020-11-07T00:28:42Z,00:28:42Z,7-Nov,0.454,0.525,3270915,1484995.41,1717230.375,4.994,5.775,4400,0.071,5.38E-07,0.015967554,0.015967554,low,normal,normal,
910,58,edison,0,4617886,8474179,9501617,11500000,florida,2020-11-04T00:28:47Z,00:28:47Z,4-Nov,0.495,0.496,6736124,3334381.38,3341117.504,3810.51,3818.208,910,0.001,1.78E-07,0.085077761,0.085077761,low,normal,normal,
6439,87,edison,0,2970733,5742040,6166708,7000000,pennsylvania,2020-11-05T00:28:52Z,00:28:52Z,5-Nov,0.513,0.475,6192283,3176641.179,2941334.425,2.565,2.375,6439,0.038,6.07E-08,0.013904061,0.013904061,low,normal,normal,
6007,96,edison,0,949136,1334872,1452992,1630000,oklahoma,2020-11-07T00:29:02Z,00:29:02Z,7-Nov,0.654,0.323,1560699,1020697.146,504105.777,1355.088,669.256,6007,0.331,2.69E-06,-0.035716269,0.035716269,high,normal,normal,
911,58,edison,0,4617886,8474179,9501617,11500000,florida,2020-11-04T00:29:02Z,00:29:02Z,4-Nov,0.495,0.496,6738338,3335477.31,3342215.648,1095.93,1098.144,911,0.001,4.50E-07,0.132917323,0.132917323,low,normal,normal,
6620,0,edison,0,1155389,1964118,2103027,2525000,south-carolina,2020-11-04T00:29:06Z,00:29:06Z,4-Nov,0.704,0.296,7940,5589.76,2350.24,528,222,6620,0.408,4.39E-07,0.130644671,0.130644671,high,normal,normal,
2624,18,edison,0,1202971,1797212,1924149,2200000,kentucky,2020-11-04T00:29:22Z,00:29:22Z,4-Nov,0.578,0.408,422491,244199.798,172376.328,2071.862,448.679,2624,0.17,6.44E-08,0.050630116,0.050630116,high,normal,normal,
1965,11,edison,0,1557286,2624534,2757828,3070000,indiana,2020-11-04T00:29:25Z,00:29:25Z,4-Nov,0.669,0.309,327050,218796.45,101058.45,3920.222,1340.44,1965,0.36,1.02E-08,-0.020353089,0.020353089,high,normal,normal,
4124,99,edison,0,2279543,4730984,4824260,5550000,michigan,2020-11-05T00:29:28Z,00:29:28Z,5-Nov,0.481,0.503,5472004,2632033.924,2752418.012,4047.496,20838.758,4124,0.022,0.000118495,0.614402329,0.614402329,low,normal,normal,
912,58,edison,0,4617886,8474179,9501617,11500000,florida,2020-11-04T00:29:42Z,00:29:42Z,4-Nov,0.497,0.494,6837681,3398327.457,3377814.414,62850.147,35598.766,912,0.003,0.000361586,-2.05078,2.05078,low,normal,normal,
1966,11,edison,0,1557286,2624534,2757828,3070000,indiana,2020-11-04T00:29:44Z,00:29:44Z,4-Nov,0.669,0.309,327927,219383.163,101329.443,586.713,270.993,1966,0.36,4.29E-07,0.12921645,0.12921645,high,normal,normal,
4322,95,edison,0,1323232,2936561,2945233,3415000,minnesota,2020-11-05T00:29:49Z,00:29:49Z,5-Nov,0.454,0.526,3241359,1471576.986,1704954.834,4073.742,7952.184,4322,0.072,2.96E-06,0.097029801,0.097029801,low,normal,normal,
